id,key,value,type
69684110,highway,turning_circle,regular
69684221,highway,turning_circle,regular
69684280,source,Bing,regular
69684280,highway,turning_circle,regular
69684294,highway,turning_circle,regular
69685014,ref,111,regular
69685014,highway,motorway_junction,regular
69685023,highway,traffic_signals,regular
69685024,highway,traffic_signals,regular
69685073,highway,traffic_signals,regular
69685075,highway,traffic_signals,regular
69685091,ref,111,regular
69685091,highway,motorway_junction,regular
69685522,ref,102,regular
69685522,highway,motorway_junction,regular
69686065,highway,traffic_signals,regular
69686135,highway,motorway_junction,regular
69686150,highway,traffic_signals,regular
69686566,highway,turning_circle,regular
69686809,ref,99,regular
69686809,highway,motorway_junction,regular
69686820,highway,traffic_signals,regular
69687283,highway,turning_circle,regular
69687306,highway,turning_circle,regular
69687455,power,tower,regular
69687458,power,tower,regular
69687463,power,tower,regular
69687465,power,tower,regular
69687468,power,tower,regular
69687488,power,tower,regular
69687493,power,tower,regular
69687496,power,tower,regular
69687499,power,tower,regular
69687501,power,tower,regular
69687503,power,tower,regular
69687506,power,tower,regular
69687511,power,tower,regular
69687514,power,tower,regular
69687515,power,tower,regular
69687517,power,tower,regular
69687519,power,tower,regular
69687521,power,tower,regular
69687524,power,tower,regular
69687530,power,tower,regular
69687534,power,tower,regular
69687539,power,tower,regular
69687541,power,tower,regular
69687549,power,tower,regular
69687551,power,tower,regular
69687554,power,tower,regular
69687557,power,tower,regular
69687561,power,tower,regular
69687569,power,tower,regular
69687571,power,tower,regular
69687576,power,tower,regular
69687619,highway,traffic_signals,regular
69688262,highway,traffic_signals,regular
69688354,highway,turning_circle,regular
69688362,highway,turning_circle,regular
69688921,highway,turning_circle,regular
69689137,highway,turning_circle,regular
69689146,power,tower,regular
69689150,power,tower,regular
69689158,power,tower,regular
69689163,power,tower,regular
69689167,power,tower,regular
69689169,power,tower,regular
69689241,highway,traffic_signals,regular
69689241,crossing,traffic_signals,regular
69689817,highway,turning_circle,regular
69690680,highway,turning_circle,regular
69690951,highway,turning_circle,regular
69691027,highway,turning_circle,regular
69691830,ref,101,regular
69691830,highway,motorway_junction,regular
69692080,highway,turning_circle,regular
69692539,highway,turning_circle,regular
69692685,highway,stop,regular
69692722,highway,crossing,regular
69692836,traffic_calming,hump,regular
69693119,power,tower,regular
69693128,ref,115,regular
69693128,highway,motorway_junction,regular
69693504,highway,traffic_signals,regular
69693507,highway,traffic_signals,regular
69694036,highway,traffic_signals,regular
69694114,highway,turning_circle,regular
69694208,highway,turning_circle,regular
69694916,highway,turning_circle,regular
69695041,ref,102,regular
69695041,highway,motorway_junction,regular
69695178,highway,turning_circle,regular
69695216,highway,turning_circle,regular
69695273,ref,103,regular
69695273,highway,motorway_junction,regular
69695283,highway,traffic_signals,regular
69695454,highway,motorway_junction,regular
69695793,highway,turning_circle,regular
69695829,highway,turning_circle,regular
69695850,highway,turning_circle,regular
69696037,ref,106,regular
69696037,highway,motorway_junction,regular
69696984,ref,101,regular
69696984,highway,motorway_junction,regular
69697018,railway,crossing,regular
69697354,highway,motorway_junction,regular
69697397,highway,traffic_signals,regular
69697437,highway,turning_circle,regular
69697440,highway,turning_circle,regular
69697446,highway,turning_circle,regular
69697640,highway,traffic_signals,regular
69697936,highway,motorway_junction,regular
69698329,highway,motorway_junction,regular
69698447,highway,motorway_junction,regular
69698568,highway,turning_circle,regular
69698723,highway,traffic_signals,regular
69698725,highway,traffic_signals,regular
69698841,ref,115,regular
69698841,highway,motorway_junction,regular
69699217,highway,turning_circle,regular
69699222,highway,turning_circle,regular
69699433,highway,turning_circle,regular
69699550,highway,traffic_signals,regular
69699551,highway,traffic_signals,regular
69699981,highway,traffic_signals,regular
69699983,highway,traffic_signals,regular
69700001,highway,motorway_junction,regular
69700023,highway,traffic_signals,regular
69700694,highway,traffic_signals,regular
69700707,ref,99,regular
69700707,highway,motorway_junction,regular
69700723,highway,motorway_junction,regular
69700750,highway,turning_circle,regular
69700812,highway,traffic_signals,regular
69700852,highway,motorway_junction,regular
69700949,highway,turning_circle,regular
69700975,highway,turning_circle,regular
69701025,highway,turning_circle,regular
69701546,ref,104,regular
69701546,highway,motorway_junction,regular
69701572,ref,105,regular
69701572,highway,motorway_junction,regular
69701572,ref,SR 120 used to be exit 107,note
69701871,highway,traffic_signals,regular
69702397,noref,yes,regular
69702397,exit_to,Rest Area,regular
69702397,highway,motorway_junction,regular
69702428,highway,turning_circle,regular
69702861,highway,turning_circle,regular
69703018,highway,traffic_signals,regular
69703145,highway,traffic_signals,regular
69703274,highway,turning_circle,regular
69703460,traffic_calming,hump,regular
69703580,highway,motorway_junction,regular
69703597,highway,traffic_signals,regular
69703712,highway,traffic_signals,regular
69703715,highway,traffic_signals,regular
69704153,ref,120,regular
69704153,exit_to,Hamilton Mill Road; Hamilton Mill Parkway,regular
69704153,highway,motorway_junction,regular
69704404,highway,motorway_junction,regular
69704461,highway,turning_circle,regular
69704730,highway,turning_circle,regular
69704742,highway,turning_circle,regular
69704784,highway,traffic_signals,regular
69705156,highway,turning_circle,regular
69705425,ref,120,regular
69705425,exit_to,Hamilton Mill Road; Hamilton Mill Parkway,regular
69705425,highway,motorway_junction,regular
69705555,highway,turning_circle,regular
69705566,highway,motorway_junction,regular
69705718,highway,turning_circle,regular
69706376,highway,turning_circle,regular
69706487,highway,traffic_signals,regular
69706543,highway,traffic_signals,regular
69706560,highway,motorway_junction,regular
69706703,highway,turning_circle,regular
69706802,highway,traffic_signals,regular
69707293,highway,motorway_junction,regular
69707414,highway,turning_circle,regular
69707538,highway,turning_circle,regular
69707755,highway,turning_circle,regular
69707775,highway,turning_circle,regular
69707837,highway,turning_circle,regular
69708107,highway,turning_circle,regular
69708160,highway,turning_circle,regular
69708206,highway,turning_circle,regular
69708234,highway,turning_circle,regular
69708407,highway,turning_circle,regular
69708414,highway,turning_circle,regular
69708812,highway,turning_circle,regular
69708892,source,Yahoo,regular
69708892,highway,turning_circle,regular
69708914,highway,turning_circle,regular
69709434,highway,traffic_signals,regular
69709868,highway,traffic_signals,regular
69709874,highway,traffic_signals,regular
69709889,highway,traffic_signals,regular
69709973,highway,traffic_signals,regular
69709985,highway,turning_circle,regular
69710036,highway,traffic_signals,regular
69710038,highway,traffic_signals,regular
69710174,highway,turning_circle,regular
69710255,highway,turning_circle,regular
69710339,highway,turning_circle,regular
69710348,highway,turning_circle,regular
69710454,highway,turning_circle,regular
69710893,highway,traffic_signals,regular
69710979,highway,turning_circle,regular
69711415,highway,traffic_signals,regular
69711481,highway,turning_circle,regular
69711490,highway,turning_circle,regular
69711652,highway,turning_circle,regular
69711678,highway,turning_circle,regular
69711691,highway,turning_circle,regular
69712051,highway,turning_circle,regular
69712175,highway,turning_circle,regular
69712189,highway,turning_circle,regular
69712217,highway,turning_circle,regular
69712416,highway,turning_circle,regular
69712492,highway,turning_circle,regular
69712547,highway,turning_circle,regular
69712613,highway,traffic_signals,regular
69712663,highway,traffic_signals,regular
69712699,highway,traffic_signals,regular
69712716,highway,traffic_signals,regular
69712746,highway,traffic_signals,regular
69712877,highway,traffic_signals,regular
69712881,highway,traffic_signals,regular
69713036,highway,turning_circle,regular
69713041,traffic_calming,hump,regular
69713080,highway,turning_circle,regular
69713100,highway,turning_circle,regular
69713155,traffic_calming,bump,regular
69713302,highway,turning_circle,regular
69713336,highway,turning_circle,regular
69713465,highway,stop,regular
69713802,highway,turning_circle,regular
69713816,highway,turning_circle,regular
69713867,highway,turning_circle,regular
69713903,highway,traffic_signals,regular
69713941,highway,turning_circle,regular
69713946,highway,turning_circle,regular
69713967,highway,turning_circle,regular
69713977,highway,stop,regular
69714143,highway,turning_circle,regular
69714177,highway,turning_circle,regular
69714191,highway,turning_circle,regular
69714527,highway,turning_circle,regular
